Lugar:,Cenario:,Aventuras,opA,opB,probSA,msgSA,probFA,msgFA,probSB,msgSB,probFB,msgFB
Vanaheim:,Torre dos Ventos Eternos:,Prova: Magnus deve enfrentar uma série de correntes de vento poderosas que o desafiam a controlar suas habilidades mágicas para navegar através delas e alcançar o topo da torre.,ele tenta passar sem usar os poderes,ele tenta usar os poderes para parar o vento,93,"Com determinação e habilidade, ele supera cada desafio apenas com sua astúcia e habilidades físicas.",7,"Ele tenta passar sem usar os poderes, mas tropeça e cai em uma armadilha invisível.",95,"Ele tenta usar os poderes para parar o vento, e a tempestade se acalma, permitindo-lhe avançar com segurança.",5,"Ele tenta usar os poderes para parar o vento, mas a magia falha e ele é arremessado pela tempestade."
Vanaheim:,Caverna dos Espelhos:,Prova: Magnus entra em uma caverna mágica cheia de espelhos que refletem versões alternativas de si mesmo. Ele deve identificar qual é o verdadeiro e enfrentar sua própria sombra em um duelo mágico.,ele quebra todos os espelhos ,ele usa um poder para identificar o verdadeiro,95,"Com força e determinação, ele quebra todos os espelhos, liberando-se das ilusões que os refletiam.",5,"Ele quebra todos os espelhos, mas um deles esconde uma maldição que o aprisiona eternamente.",94,"Ele usa um poder para identificar o verdadeiro, e a verdade é revelada, guiando-o na direção correta.",6,"Ele usa um poder para identificar o verdadeiro, mas é enganado por uma ilusão e faz a escolha errada."
Vanaheim:,Floresta dos Espíritos Anciãos:,"Prova: Nesta floresta enfeitiçada, Magnus é desafiado a encontrar o espírito de um antigo guardião e persuadi-lo a revelar um segredo antigo que só os sábios podem compreender.",ele enfrenta o guardião,ele usa um poder para persuadir o guardião,97,"Com coragem e estratégia, ele derrota o guardião, demonstrando sua força e bravura.",3,"Ele enfrenta o guardião, mas é derrotado e lançado nas profundezas do abismo.",93,"Ele usa um poder para persuadir o guardião, e o guardião cede, permitindo sua passagem.",7,"Ele usa um poder para persuadir o guardião, mas o guardião resiste e o expulsa."
Vanaheim:,Templo da Lua Negra:,"Prova: Magnus enfrenta uma série de quebra-cabeças mágicos e armadilhas obscuras dentro deste templo sombrio, cada uma guardada por seguidores fanáticos da Lua Negra, uma ordem mística sinistra.",cria clones para resolver todos os cubos ,aprende um feitiço para resolver todos ao mesmo tempo,98,"Utilizando sua inteligência e habilidade mágica, ele cria clones para resolver rapidamente todos os cubos, superando o desafio com facilidade.",2,"Cria clones para resolver todos os cubos, mas os clones se voltam contra ele, causando o caos.",98,"Aprende um feitiço para resolver todos ao mesmo tempo, e os problemas se dissipam em um instante de brilhante magia.",2,"Aprende um feitiço para resolver todos ao mesmo tempo, mas o feitiço sai de controle e cria ainda mais problemas."
Vanaheim:,Vale dos Sussurros:,"Prova: Neste vale assombrado, Magnus deve resistir aos sussurros sedutores de espíritos malignos e encontrar uma relíquia sagrada que só pode ser desbloqueada com a verdadeira intenção do coração.",ele confronta os surrurros ,ele revela a verdadeira intenção do coração,96,"Com valentia e compaixão, ele confronta os surrurros e os convence a se unirem a ele em sua jornada.",4,"Ele confronta os sussurros, mas é consumido pela loucura provocada por suas palavras.",96,"Ele revela a verdadeira intenção do coração, e a revelação traz paz e entendimento, iluminando seu caminho.",4,"Ele revela a verdadeira intenção do coração, mas a verdade é insuportável e ele é consumido pela dor."
Vanaheim:,Montanha da Tempestade:,"Prova: Magnus deve escalar esta montanha furiosa enquanto é atormentado por tempestades mágicas e criaturas elementais. No topo, ele encontra um antigo oráculo que guarda segredos do futuro.",ele usa a tempestade para subir e matar os criaturas,ele escala enfrentando a tempestade e as criaturas,94,"Controlando a tempestade com maestria, ele sobe às alturas e derrota as criaturas com um golpe certeiro, mostrando seu domínio sobre os elementos.",6,"Ele usa a tempestade para subir e matar as criaturas, mas perde o controle e é arrebatado pelo vento.",97,"Ele escala enfrentando a tempestade e as criaturas, e chega ao topo, triunfante e ileso.",3,"Ele escala enfrentando a tempestade e as criaturas, mas é derrubado pela fúria dos elementos e dos monstros."
Vanaheim:,Rio da Ilusão:,"Prova: Magnus é desafiado a atravessar este rio enfeitiçado, onde ilusões enganosas tentam desviá-lo do caminho correto. Ele deve confiar em sua intuição e habilidades mágicas para encontrar a verdadeira passagem.",ele usa uma bússola para achar a verdadeira passagem,ele confia em sua intuição e deixa o barco guia-lo ,97,"Guiado pela bússola, ele encontra a verdadeira passagem e avança em sua jornada, demonstrando sua habilidade de navegação e determinação.",3,"Ele usa uma bússola para achar a verdadeira passagem, mas a bússola se quebra, deixando-o perdido.",93,"Ele confia em sua intuição e deixa o barco guiá-lo, e o barco o leva com segurança ao seu destino.",7,"Ele confia em sua intuição e deixa o barco guiá-lo, mas o barco se perde e ele encalha em um lugar perigoso."
Vanaheim:,Labirinto das Memórias Perdidas:,Prova: Magnus entra em um labirinto mágico onde suas memórias são testadas e desafiadas. Ele deve enfrentar suas próprias lembranças e superar os traumas do passado para avançar.,distingue entre lembranças reais e ilusões para encontrar a saída., resolve enigmas baseados em suas memórias para escolher o portal correto.,96,"Com discernimento afiado, ele distingue entre lembranças reais e ilusões, encontrando a saída e escapando do labirinto mental.",4,"Distingue entre lembranças reais e ilusões para encontrar a saída, mas é enganado por uma falsa memória e se perde.",95,"Resolve enigmas baseados em suas memórias para escolher o portal correto, e atravessa para o lugar certo.",5,"Resolve enigmas baseados em suas memórias para escolher o portal correto, mas um erro o leva a um caminho mortal."
Vanaheim:,Planalto das Estrelas Cadentes:,Prova: Magnus é desafiado a atravessar este planalto perigoso durante uma chuva de estrelas cadentes. Ele deve desviar dos meteoritos e se orientar pela constelação correta para alcançar o próximo desafio.,desvia dos meteoritos com precisão e rapidez., usa um mapa estelar para seguir as constelações corretas e navegar pelo planalto.,98,"Com reflexos aguçados e habilidades de esquiva, ele desvia habilmente dos meteoritos, escapando por pouco de um destino catastrófico.",2,"Desvia dos meteoritos com precisão e rapidez, mas um pequeno erro faz com que seja atingido e gravemente ferido.",96,"Usa um mapa estelar para seguir as constelações corretas e navegar pelo planalto, chegando ao seu destino sem desvios.",4,"Usa um mapa estelar para seguir as constelações corretas e navegar pelo planalto, mas uma tempestade oculta as estrelas e ele se perde."
Vanaheim:,Santuário do Julgamento:,"Prova: Magnus chega ao santuário final, onde seu verdadeiro caráter e propósito são julgados por um conselho de anciãos místicos. Ele deve provar sua dignidade e compromisso com a causa da luz para ser reconhecido como um verdadeiro guardião de Vanaheim.","demonstra coragem, sabedoria e compaixão através de desafios específicos.","compartilha sua visão e propósito, provando seu compromisso com a causa da luz.",97,"Com coragem para enfrentar seus medos, sabedoria para tomar decisões difíceis e compaixão para ajudar os necessitados, ele supera todos os desafios que enfrenta.",3,"Demonstra coragem, sabedoria e compaixão através de desafios específicos, mas não consegue equilibrar as três qualidades e falha.",94,"Compartilha sua visão e propósito, provando seu compromisso com a causa da luz, e recebe o apoio dos sábios.",6,"Compartilha sua visão e propósito, provando seu compromisso com a causa da luz, mas os sábios não são convencidos e o rejeitam."
